Begin;End;Solar Day Ahead;Solar Intraday ;Offshore Day Ahead;Offshore Intraday ;Onshore Day Ahead;Onshore Intraday 
01.01.2018 00:00; 01.01.2018 00:15;0;0;3417;13529;28797;10837
01.01.2018 00:15; 01.01.2018 00:30;0;0;3437;13295;29092;11040
01.01.2018 00:30; 01.01.2018 00:45;0;0;3453;13369;29401;11241
01.01.2018 00:45; 01.01.2018 01:00;0;0;3469;13488;29688;11429
01.01.2018 01:00; 01.01.2018 01:15;0;0;3318;13628;29939;12115
01.01.2018 01:15; 01.01.2018 01:30;0;0;3319;13854;30171;12365
01.01.2018 01:30; 01.01.2018 01:45;0;0;3319;13919;30416;12551
01.01.2018 01:45; 01.01.2018 02:00;0;0;3323;14097;30717;12852
01.01.2018 02:00; 01.01.2018 02:15;0;0;3329;14023;31066;13071
01.01.2018 02:15; 01.01.2018 02:30;0;0;3335;14019;31375;13293
01.01.2018 02:30; 01.01.2018 02:45;0;0;3344;13977;31678;13368
01.01.2018 02:45; 01.01.2018 03:00;0;0;3357;13944;31964;13636
01.01.2018 03:00; 01.01.2018 03:15;0;0;3366;13910;32231;14082
01.01.2018 03:15; 01.01.2018 03:30;0;0;3369;14004;32459;14134
01.01.2018 03:30; 01.01.2018 03:45;0;0;3375;14047;32691;14240
01.01.2018 03:45; 01.01.2018 04:00;0;0;3387;14101;32972;14621
01.01.2018 04:00; 01.01.2018 04:15;0;0;3395;14130;33225;14816
01.01.2018 04:15; 01.01.2018 04:30;0;0;3394;14114;33354;14949
01.01.2018 04:30; 01.01.2018 04:45;0;0;3394;14125;33476;15093
01.01.2018 04:45; 01.01.2018 05:00;0;0;3407;14186;33591;15202
01.01.2018 05:00; 01.01.2018 05:15;0;0;3446;14207;33678;15290
01.01.2018 05:15; 01.01.2018 05:30;0;0;3439;14229;33885;15294
01.01.2018 05:30; 01.01.2018 05:45;0;0;3443;14206;34085;15322
01.01.2018 05:45; 01.01.2018 06:00;0;0;3454;14209;34284;15382
01.01.2018 06:00; 01.01.2018 06:15;0;0;3460;14211;34425;15393
01.01.2018 06:15; 01.01.2018 06:30;0;0;3461;14221;34484;15409
01.01.2018 06:30; 01.01.2018 06:45;0;0;3459;14215;34548;15416
01.01.2018 06:45; 01.01.2018 07:00;0;0;3467;14316;34605;15426
01.01.2018 07:00; 01.01.2018 07:15;8;0;3487;14380;34673;15423
01.01.2018 07:15; 01.01.2018 07:30;8;0;3505;14488;34683;15390
01.01.2018 07:30; 01.01.2018 07:45;9;0;3522;14606;34693;15364
01.01.2018 07:45; 01.01.2018 08:00;9;0;3537;14627;34714;15284
01.01.2018 08:00; 01.01.2018 08:15;20;10;3549;14293;34696;15227
01.01.2018 08:15; 01.01.2018 08:30;67;36;3570;14487;34641;15132
01.01.2018 08:30; 01.01.2018 08:45;251;109;3586;14627;34599;15046
01.01.2018 08:45; 01.01.2018 09:00;599;231;3605;14753;34576;14979
01.01.2018 09:00; 01.01.2018 09:15;1039;403;3621;14837;34574;14883
01.01.2018 09:15; 01.01.2018 09:30;1546;621;3634;14844;34547;14855
01.01.2018 09:30; 01.01.2018 09:45;2110;866;3643;14870;34534;14803
01.01.2018 09:45; 01.01.2018 10:00;2713;1130;3658;14894;34488;14703
01.01.2018 10:00; 01.01.2018 10:15;3303;1392;3666;14913;34460;14551
01.01.2018 10:15; 01.01.2018 10:30;3856;1657;3665;14916;34483;14534
01.01.2018 10:30; 01.01.2018 10:45;4370;1915;3668;14952;34510;14514
01.01.2018 10:45; 01.01.2018 11:00;4852;2151;3668;14977;34531;14497
01.01.2018 11:00; 01.01.2018 11:15;5274;2365;3669;14985;34521;14486
01.01.2018 11:15; 01.01.2018 11:30;5620;2541;3667;14913;34438;14468
01.01.2018 11:30; 01.01.2018 11:45;5894;2683;3666;14844;34344;14458
01.01.2018 11:45; 01.01.2018 12:00;6103;2808;3666;14740;34211;14442
01.01.2018 12:00; 01.01.2018 12:15;6244;2906;3661;14609;34025;14368
01.01.2018 12:15; 01.01.2018 12:30;6284;2961;3653;14444;33677;14237
01.01.2018 12:30; 01.01.2018 12:45;6228;2979;3647;14277;33333;14106
01.01.2018 12:45; 01.01.2018 13:00;6139;2980;3642;14087;32963;13976
01.01.2018 13:00; 01.01.2018 13:15;5980;2951;3639;13901;32520;13804
01.01.2018 13:15; 01.01.2018 13:30;5744;2886;3621;13698;31839;13516
01.01.2018 13:30; 01.01.2018 13:45;5444;2789;3610;13487;31114;13228
01.01.2018 13:45; 01.01.2018 14:00;5092;2661;3593;13236;30392;12949
01.01.2018 14:00; 01.01.2018 14:15;4683;2504;3574;12955;29566;12593
01.01.2018 14:15; 01.01.2018 14:30;4190;2297;3550;12590;28523;12168
