Begin;End;Load Forecast;Actual Load
01.01.2018 00:00; 01.01.2018 00:15;49460;49041
01.01.2018 00:15; 01.01.2018 00:30;48552;48289
01.01.2018 00:30; 01.01.2018 00:45;47996;47859
01.01.2018 00:45; 01.01.2018 01:00;47412;47568
01.01.2018 01:00; 01.01.2018 01:15;46841;47645
01.01.2018 01:15; 01.01.2018 01:30;46327;47129
01.01.2018 01:30; 01.01.2018 01:45;45856;46513
01.01.2018 01:45; 01.01.2018 02:00;45535;46661
01.01.2018 02:00; 01.01.2018 02:15;45217;46816
01.01.2018 02:15; 01.01.2018 02:30;45036;45955
01.01.2018 02:30; 01.01.2018 02:45;44844;45717
01.01.2018 02:45; 01.01.2018 03:00;44730;44922
01.01.2018 03:00; 01.01.2018 03:15;44590;44522
01.01.2018 03:15; 01.01.2018 03:30;44567;44499
01.01.2018 03:30; 01.01.2018 03:45;44573;44311
01.01.2018 03:45; 01.01.2018 04:00;44616;44154
01.01.2018 04:00; 01.01.2018 04:15;44755;44209
01.01.2018 04:15; 01.01.2018 04:30;44861;44203
01.01.2018 04:30; 01.01.2018 04:45;44939;44315
01.01.2018 04:45; 01.01.2018 05:00;44904;44133
01.01.2018 05:00; 01.01.2018 05:15;45298;44849
01.01.2018 05:15; 01.01.2018 05:30;45143;44773
01.01.2018 05:30; 01.01.2018 05:45;45150;44470
01.01.2018 05:45; 01.01.2018 06:00;44856;44235
01.01.2018 06:00; 01.01.2018 06:15;44049;43904
01.01.2018 06:15; 01.01.2018 06:30;44394;43531
01.01.2018 06:30; 01.01.2018 06:45;44465;43523
01.01.2018 06:45; 01.01.2018 07:00;44829;43717
01.01.2018 07:00; 01.01.2018 07:15;45332;43922
01.01.2018 07:15; 01.01.2018 07:30;45853;44208
01.01.2018 07:30; 01.01.2018 07:45;46679;44576
01.01.2018 07:45; 01.01.2018 08:00;47840;44464
01.01.2018 08:00; 01.01.2018 08:15;48794;44882
01.01.2018 08:15; 01.01.2018 08:30;49395;45191
01.01.2018 08:30; 01.01.2018 08:45;50066;45766
01.01.2018 08:45; 01.01.2018 09:00;50765;46588
01.01.2018 09:00; 01.01.2018 09:15;51950;47153
01.01.2018 09:15; 01.01.2018 09:30;52905;47925
01.01.2018 09:30; 01.01.2018 09:45;53378;48804
01.01.2018 09:45; 01.01.2018 10:00;53922;49560
01.01.2018 10:00; 01.01.2018 10:15;54842;50023
01.01.2018 10:15; 01.01.2018 10:30;55694;50504
01.01.2018 10:30; 01.01.2018 10:45;56226;51437
01.01.2018 10:45; 01.01.2018 11:00;56888;51878
01.01.2018 11:00; 01.01.2018 11:15;57688;52639
01.01.2018 11:15; 01.01.2018 11:30;58377;53610
01.01.2018 11:30; 01.01.2018 11:45;58989;54382
01.01.2018 11:45; 01.01.2018 12:00;59894;54881
01.01.2018 12:00; 01.01.2018 12:15;59176;55344
01.01.2018 12:15; 01.01.2018 12:30;58954;55571
01.01.2018 12:30; 01.01.2018 12:45;58588;56090
01.01.2018 12:45; 01.01.2018 13:00;58058;55950
01.01.2018 13:00; 01.01.2018 13:15;57707;55592
01.01.2018 13:15; 01.01.2018 13:30;57006;54989
01.01.2018 13:30; 01.01.2018 13:45;56503;54879
01.01.2018 13:45; 01.01.2018 14:00;55934;54164
01.01.2018 14:00; 01.01.2018 14:15;55493;53855
01.01.2018 14:15; 01.01.2018 14:30;54986;53716
01.01.2018 14:30; 01.01.2018 14:45;54877;53635
01.01.2018 14:45; 01.01.2018 15:00;54794;53601
01.01.2018 15:00; 01.01.2018 15:15;54487;53308
01.01.2018 15:15; 01.01.2018 15:30;54653;53284
01.01.2018 15:30; 01.01.2018 15:45;54907;53589
01.01.2018 15:45; 01.01.2018 16:00;54966;53378
01.01.2018 16:00; 01.01.2018 16:15;55656;54109
01.01.2018 16:15; 01.01.2018 16:30;56003;54918
01.01.2018 16:30; 01.01.2018 16:45;56257;56276
01.01.2018 16:45; 01.01.2018 17:00;58150;57620
01.01.2018 17:00; 01.01.2018 17:15;59694;58955
01.01.2018 17:15; 01.01.2018 17:30;60557;59802
01.01.2018 17:30; 01.01.2018 17:45;61186;60246
01.01.2018 17:45; 01.01.2018 18:00;61480;60274
01.01.2018 18:00; 01.01.2018 18:15;62014;60502
01.01.2018 18:15; 01.01.2018 18:30;62043;60717
01.01.2018 18:30; 01.01.2018 18:45;61892;60857
01.01.2018 18:45; 01.01.2018 19:00;61663;60309
01.01.2018 19:00; 01.01.2018 19:15;61412;59670
01.01.2018 19:15; 01.01.2018 19:30;60872;59225
01.01.2018 19:30; 01.01.2018 19:45;60501;58882
01.01.2018 19:45; 01.01.2018 20:00;60255;58616
01.01.2018 20:00; 01.01.2018 20:15;59466;57358
01.01.2018 20:15; 01.01.2018 20:30;58617;56548
01.01.2018 20:30; 01.01.2018 20:45;57999;55787
01.01.2018 20:45; 01.01.2018 21:00;57366;54934
01.01.2018 21:00; 01.01.2018 21:15;56630;54812
01.01.2018 21:15; 01.01.2018 21:30;56530;54377
01.01.2018 21:30; 01.01.2018 21:45;57312;53897
01.01.2018 21:45; 01.01.2018 22:00;55849;53852
01.01.2018 22:00; 01.01.2018 22:15;56822;54621
01.01.2018 22:15; 01.01.2018 22:30;56334;53928
01.01.2018 22:30; 01.01.2018 22:45;55461;53127
01.01.2018 22:45; 01.01.2018 23:00;54582;52534
01.01.2018 23:00; 01.01.2018 23:15;53774;51194
01.01.2018 23:15; 01.01.2018 23:30;53019;50380
01.01.2018 23:30; 01.01.2018 23:45;52095;49493
01.01.2018 23:45; 02.01.2018 00:00;51781;48557
02.01.2018 00:00; 02.01.2018 00:15;51938;48157
02.01.2018 00:15; 02.01.2018 00:30;51222;47072
02.01.2018 00:30; 02.01.2018 00:45;50747;46339
02.01.2018 00:45; 02.01.2018 01:00;50558;45723
02.01.2018 01:00; 02.01.2018 01:15;50062;45261
02.01.2018 01:15; 02.01.2018 01:30;49659;44722
02.01.2018 01:30; 02.01.2018 01:45;49396;44589
02.01.2018 01:45; 02.01.2018 02:00;49089;44413
02.01.2018 02:00; 02.01.2018 02:15;48785;44221
02.01.2018 02:15; 02.01.2018 02:30;48762;43932
02.01.2018 02:30; 02.01.2018 02:45;48601;43905
02.01.2018 02:45; 02.01.2018 03:00;48553;43955
02.01.2018 03:00; 02.01.2018 03:15;48593;44083
02.01.2018 03:15; 02.01.2018 03:30;48709;44208
02.01.2018 03:30; 02.01.2018 03:45;48717;44522
02.01.2018 03:45; 02.01.2018 04:00;48930;44588
02.01.2018 04:00; 02.01.2018 04:15;49509;45142
02.01.2018 04:15; 02.01.2018 04:30;49876;45431
02.01.2018 04:30; 02.01.2018 04:45;50425;46227
02.01.2018 04:45; 02.01.2018 05:00;51048;46764
02.01.2018 05:00; 02.01.2018 05:15;52309;48123
02.01.2018 05:15; 02.01.2018 05:30;53280;48927
02.01.2018 05:30; 02.01.2018 05:45;54650;50094
02.01.2018 05:45; 02.01.2018 06:00;56272;51891
02.01.2018 06:00; 02.01.2018 06:15;59310;54093
02.01.2018 06:15; 02.01.2018 06:30;61509;56363
02.01.2018 06:30; 02.01.2018 06:45;63773;57981
02.01.2018 06:45; 02.01.2018 07:00;65428;59832
02.01.2018 07:00; 02.01.2018 07:15;67372;62689
02.01.2018 07:15; 02.01.2018 07:30;68691;64188
02.01.2018 07:30; 02.01.2018 07:45;69771;65735
02.01.2018 07:45; 02.01.2018 08:00;71024;67001
02.01.2018 08:00; 02.01.2018 08:15;72110;68496
02.01.2018 08:15; 02.01.2018 08:30;72295;69337
02.01.2018 08:30; 02.01.2018 08:45;72675;70267
02.01.2018 08:45; 02.01.2018 09:00;72696;70749
02.01.2018 09:00; 02.01.2018 09:15;72588;71440
02.01.2018 09:15; 02.01.2018 09:30;72954;71858
02.01.2018 09:30; 02.01.2018 09:45;73181;72399
02.01.2018 09:45; 02.01.2018 10:00;73842;72891
02.01.2018 10:00; 02.01.2018 10:15;74076;73312
02.01.2018 10:15; 02.01.2018 10:30;74523;73687
02.01.2018 10:30; 02.01.2018 10:45;75137;74372
02.01.2018 10:45; 02.01.2018 11:00;75336;74661
02.01.2018 11:00; 02.01.2018 11:15;75553;74572
02.01.2018 11:15; 02.01.2018 11:30;75817;75109
02.01.2018 11:30; 02.01.2018 11:45;76022;75799
02.01.2018 11:45; 02.01.2018 12:00;75956;76067
02.01.2018 12:00; 02.01.2018 12:15;75565;75970
02.01.2018 12:15; 02.01.2018 12:30;75723;76003
02.01.2018 12:30; 02.01.2018 12:45;75414;76180
02.01.2018 12:45; 02.01.2018 13:00;75602;76076
02.01.2018 13:00; 02.01.2018 13:15;75476;75810
02.01.2018 13:15; 02.01.2018 13:30;75296;75440
02.01.2018 13:30; 02.01.2018 13:45;74967;74993
02.01.2018 13:45; 02.01.2018 14:00;74206;74544
02.01.2018 14:00; 02.01.2018 14:15;73958;74272
02.01.2018 14:15; 02.01.2018 14:30;73614;73971
02.01.2018 14:30; 02.01.2018 14:45;73587;73579
02.01.2018 14:45; 02.01.2018 15:00;73927;73479
02.01.2018 15:00; 02.01.2018 15:15;74349;73542
02.01.2018 15:15; 02.01.2018 15:30;73314;73060
02.01.2018 15:30; 02.01.2018 15:45;73227;72877
02.01.2018 15:45; 02.01.2018 16:00;73073;72799
02.01.2018 16:00; 02.01.2018 16:15;73578;72969
02.01.2018 16:15; 02.01.2018 16:30;74439;73697
02.01.2018 16:30; 02.01.2018 16:45;75138;74718
02.01.2018 16:45; 02.01.2018 17:00;74796;76032
02.01.2018 17:00; 02.01.2018 17:15;75550;77020
02.01.2018 17:15; 02.01.2018 17:30;75645;77373
02.01.2018 17:30; 02.01.2018 17:45;76141;77508
02.01.2018 17:45; 02.01.2018 18:00;75883;77722
02.01.2018 18:00; 02.01.2018 18:15;75600;77476
02.01.2018 18:15; 02.01.2018 18:30;75631;77077
02.01.2018 18:30; 02.01.2018 18:45;75427;76838
02.01.2018 18:45; 02.01.2018 19:00;75411;76477
02.01.2018 19:00; 02.01.2018 19:15;74795;75983
02.01.2018 19:15; 02.01.2018 19:30;73874;75349
02.01.2018 19:30; 02.01.2018 19:45;73229;74496
02.01.2018 19:45; 02.01.2018 20:00;72575;73492
02.01.2018 20:00; 02.01.2018 20:15;71210;71926
02.01.2018 20:15; 02.01.2018 20:30;69534;70261
02.01.2018 20:30; 02.01.2018 20:45;68893;69207
02.01.2018 20:45; 02.01.2018 21:00;67960;67851
02.01.2018 21:00; 02.01.2018 21:15;66747;67007
02.01.2018 21:15; 02.01.2018 21:30;66103;65921
02.01.2018 21:30; 02.01.2018 21:45;65856;65351
02.01.2018 21:45; 02.01.2018 22:00;64416;64659
02.01.2018 22:00; 02.01.2018 22:15;64389;65130
02.01.2018 22:15; 02.01.2018 22:30;63656;64464
02.01.2018 22:30; 02.01.2018 22:45;62427;63209
02.01.2018 22:45; 02.01.2018 23:00;60958;61943
02.01.2018 23:00; 02.01.2018 23:15;59759;60640
02.01.2018 23:15; 02.01.2018 23:30;58511;59715
02.01.2018 23:30; 02.01.2018 23:45;57392;58879
02.01.2018 23:45; 03.01.2018 00:00;56478;57989
03.01.2018 00:00; 03.01.2018 00:15;56397;56890
03.01.2018 00:15; 03.01.2018 00:30;55879;55984
03.01.2018 00:30; 03.01.2018 00:45;55207;55364
03.01.2018 00:45; 03.01.2018 01:00;54479;55038
03.01.2018 01:00; 03.01.2018 01:15;53787;54424
03.01.2018 01:15; 03.01.2018 01:30;53310;53782
03.01.2018 01:30; 03.01.2018 01:45;52862;53344
03.01.2018 01:45; 03.01.2018 02:00;52540;52909
03.01.2018 02:00; 03.01.2018 02:15;52351;52669
03.01.2018 02:15; 03.01.2018 02:30;52091;52592
03.01.2018 02:30; 03.01.2018 02:45;52019;52517
03.01.2018 02:45; 03.01.2018 03:00;51931;52763
03.01.2018 03:00; 03.01.2018 03:15;51950;52688
03.01.2018 03:15; 03.01.2018 03:30;51949;52996
