begin;end;Brown_coal/Lignite;Gas;Hard_coal;Geothermal;Solar;Wind_Offshore;Wind_Onshore
01.10.2018 00:00; 01.10.2018 00:15;15574;3377;7940;3;0;1442;4232
01.10.2018 00:15; 01.10.2018 00:30;15588;3390;7868;3;0;1469;4265
01.10.2018 00:30; 01.10.2018 00:45;15554;3395;8031;3;0;1584;4280
01.10.2018 00:45; 01.10.2018 01:00;15465;3366;7945;3;0;2007;4191
01.10.2018 01:00; 01.10.2018 01:15;15588;3229;7924;3;0;2116;4058
01.10.2018 01:15; 01.10.2018 01:30;15600;3239;7902;3;0;2043;4041
01.10.2018 01:30; 01.10.2018 01:45;15624;3265;7692;3;0;2067;3903
01.10.2018 01:45; 01.10.2018 02:00;15611;3264;7529;3;0;2110;3833
01.10.2018 02:00; 01.10.2018 02:15;15682;3325;7282;3;0;1962;3828
01.10.2018 02:15; 01.10.2018 02:30;15687;3332;7422;3;0;2146;3869
01.10.2018 02:30; 01.10.2018 02:45;15675;3342;7712;3;0;2181;3866
01.10.2018 02:45; 01.10.2018 03:00;15699;3315;7811;3;0;2288;3943
01.10.2018 03:00; 01.10.2018 03:15;15748;3154;7889;3;0;2230;3957
01.10.2018 03:15; 01.10.2018 03:30;15744;3164;7913;3;0;1958;4063
01.10.2018 03:30; 01.10.2018 03:45;15763;3176;7940;3;0;2159;4187
01.10.2018 03:45; 01.10.2018 04:00;15757;3191;7954;3;0;2457;4358
01.10.2018 04:00; 01.10.2018 04:15;15830;3318;7864;3;0;2698;4453
01.10.2018 04:15; 01.10.2018 04:30;15814;3340;7971;3;0;2509;4518
01.10.2018 04:30; 01.10.2018 04:45;15814;3390;8327;3;0;2560;4635
01.10.2018 04:45; 01.10.2018 05:00;15799;3401;8725;3;0;2480;4722
01.10.2018 05:00; 01.10.2018 05:15;15771;3529;9451;3;0;2485;4913
01.10.2018 05:15; 01.10.2018 05:30;15780;3550;9986;3;0;2567;5129
01.10.2018 05:30; 01.10.2018 05:45;15810;3694;10486;3;0;2796;5308
01.10.2018 05:45; 01.10.2018 06:00;15849;3813;11106;3;0;2763;5460
01.10.2018 06:00; 01.10.2018 06:15;15690;4549;11845;3;0;3320;5734
01.10.2018 06:15; 01.10.2018 06:30;15689;4631;12363;3;0;3361;5938
01.10.2018 06:30; 01.10.2018 06:45;15770;4727;12463;3;0;3495;6089
01.10.2018 06:45; 01.10.2018 07:00;15795;4971;12906;3;0;3870;6165
01.10.2018 07:00; 01.10.2018 07:15;15783;5489;13636;3;7;3841;6406
01.10.2018 07:15; 01.10.2018 07:30;15883;5574;13833;3;59;3610;6727
01.10.2018 07:30; 01.10.2018 07:45;15887;5588;14090;3;227;3660;6894
01.10.2018 07:45; 01.10.2018 08:00;15864;5591;14128;3;540;3836;6989
01.10.2018 08:00; 01.10.2018 08:15;15810;5583;14027;3;1020;3807;7010
01.10.2018 08:15; 01.10.2018 08:30;15805;5611;14075;3;1627;3994;6900
01.10.2018 08:30; 01.10.2018 08:45;15763;5624;14076;3;2349;4177;6484
01.10.2018 08:45; 01.10.2018 09:00;15753;5625;14094;3;3035;4121;6326
01.10.2018 09:00; 01.10.2018 09:15;15818;5609;14180;3;3830;4178;6282
01.10.2018 09:15; 01.10.2018 09:30;15828;5601;14000;3;4753;4336;5945
01.10.2018 09:30; 01.10.2018 09:45;15925;5601;13784;3;5546;4313;5701
01.10.2018 09:45; 01.10.2018 10:00;15983;5490;13554;3;6398;4300;5747
01.10.2018 10:00; 01.10.2018 10:15;16042;5428;13438;3;7164;4274;5733
01.10.2018 10:15; 01.10.2018 10:30;16072;5452;13494;3;7990;4290;6032
01.10.2018 10:30; 01.10.2018 10:45;16127;5457;13413;3;8836;4319;6565
01.10.2018 10:45; 01.10.2018 11:00;16111;5469;13333;3;9385;4228;7239
01.10.2018 11:00; 01.10.2018 11:15;16068;5272;12938;3;9657;4250;7941
01.10.2018 11:15; 01.10.2018 11:30;16074;5209;12640;3;10063;4286;8429
01.10.2018 11:30; 01.10.2018 11:45;15973;5100;12163;3;10455;4280;8927
01.10.2018 11:45; 01.10.2018 12:00;15895;5042;11518;3;10659;4292;9346
01.10.2018 12:00; 01.10.2018 12:15;15531;4670;10643;3;10969;4343;9831
01.10.2018 12:15; 01.10.2018 12:30;15265;4686;10286;3;11080;4345;10358
01.10.2018 12:30; 01.10.2018 12:45;15342;4682;9983;3;11100;4420;10750
01.10.2018 12:45; 01.10.2018 13:00;15301;4716;9767;3;11173;4425;10946
01.10.2018 13:00; 01.10.2018 13:15;15264;4366;9620;3;11067;4320;11511
01.10.2018 13:15; 01.10.2018 13:30;15213;4363;9674;3;11268;4297;11736
01.10.2018 13:30; 01.10.2018 13:45;15232;4434;9586;3;11322;4340;12151
01.10.2018 13:45; 01.10.2018 14:00;15172;4501;9533;3;11365;4260;12853
01.10.2018 14:00; 01.10.2018 14:15;14954;4614;9464;3;11101;4361;13253
01.10.2018 14:15; 01.10.2018 14:30;14960;4687;9428;3;10514;4459;13972
01.10.2018 14:30; 01.10.2018 14:45;14926;4738;9365;3;10623;4495;14658
01.10.2018 14:45; 01.10.2018 15:00;14903;4804;9242;3;10293;4414;15218
01.10.2018 15:00; 01.10.2018 15:15;14842;4831;8822;3;9658;4445;15308
01.10.2018 15:15; 01.10.2018 15:30;14780;4889;8738;3;8720;4482;15377
01.10.2018 15:30; 01.10.2018 15:45;14768;4894;8683;3;8210;4517;15652
01.10.2018 15:45; 01.10.2018 16:00;14764;4888;8669;3;7549;4491;15653
01.10.2018 16:00; 01.10.2018 16:15;14802;4927;8581;3;6878;4308;15871
01.10.2018 16:15; 01.10.2018 16:30;14719;4956;8626;3;6186;4084;16233
01.10.2018 16:30; 01.10.2018 16:45;14689;4958;8776;3;5354;4231;16283
01.10.2018 16:45; 01.10.2018 17:00;14725;4992;9135;3;4763;4494;16336
01.10.2018 17:00; 01.10.2018 17:15;15174;5200;9266;3;3994;4531;16540
01.10.2018 17:15; 01.10.2018 17:30;15375;5201;9560;3;3216;4544;15336
01.10.2018 17:30; 01.10.2018 17:45;15443;5390;10064;3;2380;4569;15049
01.10.2018 17:45; 01.10.2018 18:00;15483;5450;10476;3;1748;4549;14475
01.10.2018 18:00; 01.10.2018 18:15;15740;5544;10631;3;1104;4590;13897
01.10.2018 18:15; 01.10.2018 18:30;15922;5475;10779;3;658;4553;13585
01.10.2018 18:30; 01.10.2018 18:45;15907;5498;10874;3;260;4556;13566
01.10.2018 18:45; 01.10.2018 19:00;15875;5499;11077;3;72;4478;13431
01.10.2018 19:00; 01.10.2018 19:15;15839;5425;11322;3;4;4308;13482
01.10.2018 19:15; 01.10.2018 19:30;15892;5318;11431;3;0;4456;13483
01.10.2018 19:30; 01.10.2018 19:45;15857;5328;11407;3;0;4498;13552
01.10.2018 19:45; 01.10.2018 20:00;15827;5333;11393;3;0;4401;13821
01.10.2018 20:00; 01.10.2018 20:15;15876;5346;11298;3;0;4124;14056
01.10.2018 20:15; 01.10.2018 20:30;15817;5361;11225;3;0;4233;14503
01.10.2018 20:30; 01.10.2018 20:45;15878;5366;10963;3;0;4267;14569
01.10.2018 20:45; 01.10.2018 21:00;15756;5421;10651;3;0;4195;14470
01.10.2018 21:00; 01.10.2018 21:15;15847;5232;10112;3;0;4230;14677
01.10.2018 21:15; 01.10.2018 21:30;15838;5249;9834;3;0;4227;14447
01.10.2018 21:30; 01.10.2018 21:45;15798;5232;9403;3;0;4103;14382
01.10.2018 21:45; 01.10.2018 22:00;15777;5195;8946;3;0;3629;14317
01.10.2018 22:00; 01.10.2018 22:15;15720;4722;8630;3;0;3639;13988
01.10.2018 22:15; 01.10.2018 22:30;15651;4638;8473;3;0;3603;14197
01.10.2018 22:30; 01.10.2018 22:45;15651;4521;8138;3;0;3621;14346
01.10.2018 22:45; 01.10.2018 23:00;15681;4304;7558;3;0;3268;14320
01.10.2018 23:00; 01.10.2018 23:15;15585;3931;6846;3;0;3399;14290
01.10.2018 23:15; 01.10.2018 23:30;15417;3874;6350;3;0;3295;14168
01.10.2018 23:30; 01.10.2018 23:45;15421;3851;6076;3;0;3177;14089
01.10.2018 23:45; 02.10.2018 00:00;15425;3600;6046;3;0;3044;13932
02.10.2018 00:00; 02.10.2018 00:15;15378;3089;6619;3;0;2912;13775
02.10.2018 00:15; 02.10.2018 00:30;15397;3092;6499;3;0;3111;13810
02.10.2018 00:30; 02.10.2018 00:45;15459;3103;6324;3;0;2839;13684
02.10.2018 00:45; 02.10.2018 01:00;15416;3067;6149;3;0;2713;13562
02.10.2018 01:00; 02.10.2018 01:15;15287;3069;5976;3;0;2846;13223
02.10.2018 01:15; 02.10.2018 01:30;15193;3059;5892;3;0;2913;13197
02.10.2018 01:30; 02.10.2018 01:45;15220;3088;5694;3;0;2681;12999
02.10.2018 01:45; 02.10.2018 02:00;15203;3050;5667;3;0;2890;12829
02.10.2018 02:00; 02.10.2018 02:15;15247;3056;5834;3;0;2736;12703
02.10.2018 02:15; 02.10.2018 02:30;15232;3054;6078;3;0;2906;12801
02.10.2018 02:30; 02.10.2018 02:45;15242;3060;6248;3;0;2630;13012
02.10.2018 02:45; 02.10.2018 03:00;15233;3056;6271;3;0;2631;12968
02.10.2018 03:00; 02.10.2018 03:15;15235;3069;6112;3;0;2784;13066
02.10.2018 03:15; 02.10.2018 03:30;15059;3052;6064;3;0;3215;13349
02.10.2018 03:30; 02.10.2018 03:45;14951;3055;6047;3;0;3200;13574
02.10.2018 03:45; 02.10.2018 04:00;14882;3036;6083;3;0;3332;13616
02.10.2018 04:00; 02.10.2018 04:15;15143;3022;6028;3;0;3443;13712
02.10.2018 04:15; 02.10.2018 04:30;15152;3010;5980;3;0;3641;13896
02.10.2018 04:30; 02.10.2018 04:45;15117;3039;6159;3;0;4036;14187
02.10.2018 04:45; 02.10.2018 05:00;15114;3097;6314;3;0;4222;14395
02.10.2018 05:00; 02.10.2018 05:15;15063;3179;6771;3;0;4308;14642
02.10.2018 05:15; 02.10.2018 05:30;15072;3288;7313;3;0;4489;14762
02.10.2018 05:30; 02.10.2018 05:45;14841;3334;7957;3;0;4672;14786
02.10.2018 05:45; 02.10.2018 06:00;14705;3432;8416;3;0;4772;14956
02.10.2018 06:00; 02.10.2018 06:15;14636;3762;8645;3;0;4817;15460
02.10.2018 06:15; 02.10.2018 06:30;14668;3840;9022;3;0;4856;15967
02.10.2018 06:30; 02.10.2018 06:45;14778;3836;9381;3;0;4849;16262
02.10.2018 06:45; 02.10.2018 07:00;14831;3887;9617;3;0;4811;16541
02.10.2018 07:00; 02.10.2018 07:15;14822;4275;9801;3;4;4903;16879
02.10.2018 07:15; 02.10.2018 07:30;14879;4290;10001;3;50;4715;17482
02.10.2018 07:30; 02.10.2018 07:45;14698;4285;10041;3;265;4690;17847
02.10.2018 07:45; 02.10.2018 08:00;14520;4267;9976;3;685;4688;17949
02.10.2018 08:00; 02.10.2018 08:15;14321;4185;9839;3;1360;4573;18125
02.10.2018 08:15; 02.10.2018 08:30;14283;4188;9671;3;2029;4413;18042
02.10.2018 08:30; 02.10.2018 08:45;14305;4196;9558;3;2770;4423;18471
02.10.2018 08:45; 02.10.2018 09:00;14386;4191;9293;3;3504;4138;18815
02.10.2018 09:00; 02.10.2018 09:15;14422;4039;8597;3;4262;3950;19191
02.10.2018 09:15; 02.10.2018 09:30;14407;4047;8153;3;5027;3855;19818
02.10.2018 09:30; 02.10.2018 09:45;14442;4006;8041;3;5820;3741;20370
02.10.2018 09:45; 02.10.2018 10:00;14367;3957;7917;3;6296;3482;21415
02.10.2018 10:00; 02.10.2018 10:15;14138;3999;7953;3;6728;3402;22209
02.10.2018 10:15; 02.10.2018 10:30;13947;3998;8085;3;7190;3336;23291
02.10.2018 10:30; 02.10.2018 10:45;13759;3982;8028;3;7816;3413;24179
02.10.2018 10:45; 02.10.2018 11:00;13681;3940;7704;3;8335;3454;25159
