Delivery Date;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
31.12.2019;22.66;16.92;14.78;9.73;10.76;16.32;24.88;30.10;35.27;36.05;34.01;34.29;33.99;31.66;32.50;36.71;38.50;42.02;42.92;41.36;36.49;32.37;34.00;31.65
30.12.2019;23.99;19.12;15.22;13.91;13.43;20.23;26.04;31.56;36.65;36.98;34.22;33.15;33.26;31.01;34.27;38.62;40.41;42.60;40.92;39.00;36.75;31.43;30.10;26.09
29.12.2019;26.08;24.01;25.08;19.01;21.00;20.00;23.00;26.01;30.10;32.47;34.00;32.80;34.00;30.27;30.10;34.50;38.75;40.16;40.01;39.00;36.00;31.00;29.01;25.09
28.12.2019;32.00;30.00;28.50;26.21;26.20;26.60;29.00;31.50;35.80;38.49;38.49;37.45;37.36;35.00;34.84;37.80;40.10;43.62;42.70;42.20;38.10;33.00;32.95;30.10
27.12.2019;29.00;27.50;25.33;24.60;28.50;29.00;33.35;37.91;40.74;44.00;44.13;45.41;42.92;38.25;41.31;43.86;46.96;48.87;48.69;48.92;46.13;35.96;34.00;32.02
26.12.2019;22.22;16.14;15.64;13.19;15.00;14.89;18.48;23.40;28.77;32.10;32.00;33.63;32.00;27.73;29.05;32.00;34.64;36.93;37.95;36.91;37.93;30.61;30.00;27.08
25.12.2019;23.81;16.34;15.57;10.04;9.10;10.70;11.43;16.80;25.00;29.10;29.08;29.10;29.05;23.08;21.57;25.72;29.03;29.50;32.10;29.73;32.22;24.90;24.50;19.98
24.12.2019;13.50;9.17;5.00;5.00;5.00;10.10;15.32;25.40;31.29;34.29;34.33;33.54;32.03;29.75;29.09;34.09;36.85;37.78;36.91;35.00;32.60;28.38;25.43;18.43
23.12.2019;22.00;18.00;16.38;13.00;15.96;19.57;24.00;33.00;35.90;34.00;35.39;35.90;32.23;30.58;30.84;33.06;36.00;37.18;38.00;35.90;33.01;27.00;26.74;22.05
22.12.2019;22.82;21.08;21.01;14.59;15.80;19.51;21.10;24.75;32.18;34.27;34.26;35.24;33.09;28.20;28.00;33.09;35.82;35.97;36.64;36.94;35.61;28.00;26.29;22.94
21.12.2019;27.74;24.49;22.50;21.00;21.38;22.10;27.00;30.30;35.00;35.91;35.91;35.92;35.00;33.00;33.09;35.90;35.97;37.78;39.80;36.97;35.91;28.29;28.02;24.88
20.12.2019;26.68;24.70;22.16;20.11;23.03;26.10;32.50;38.43;37.90;37.46;35.00;34.49;34.00;34.73;34.17;34.16;36.00;38.97;37.90;36.50;34.83;31.10;30.00;27.06
19.12.2019;31.68;29.00;27.71;27.44;27.76;30.66;41.13;45.99;47.48;48.00;47.64;44.93;43.54;42.90;42.99;44.67;45.81;46.51;45.62;42.50;38.35;33.99;31.51;28.18
18.12.2019;31.49;29.23;29.10;27.52;29.08;33.60;44.70;50.47;51.76;51.99;51.83;51.12;50.36;50.00;50.60;52.00;54.31;55.03;53.88;52.90;49.94;42.54;39.14;35.43
17.12.2019;37.69;33.50;33.02;31.50;32.00;35.00;45.10;51.40;51.60;51.50;50.92;50.79;50.30;49.50;49.90;51.05;50.50;51.95;51.29;49.99;48.00;41.62;38.51;33.51
16.12.2019;33.08;30.57;32.93;27.30;32.21;34.06;45.44;50.96;50.90;50.90;50.50;50.26;49.99;50.99;51.00;51.13;54.94;53.49;52.90;51.97;51.91;47.00;43.78;40.99
15.12.2019;32.05;29.10;26.98;26.53;20.31;24.34;28.00;30.16;33.05;36.00;36.10;35.04;39.07;30.08;32.75;35.09;36.00;37.63;41.10;39.19;40.08;33.59;32.70;29.20
14.12.2019;33.02;31.74;30.51;28.87;28.36;29.90;30.90;33.44;36.91;42.13;42.54;42.00;42.00;37.90;37.74;37.10;38.00;39.90;40.57;38.00;36.10;33.04;33.06;29.13
13.12.2019;37.28;35.09;33.74;33.02;33.01;35.51;42.13;49.33;51.64;50.95;50.17;49.32;48.42;47.50;47.67;49.26;50.40;51.87;52.00;51.57;50.94;44.00;40.34;36.52
12.12.2019;36.81;35.92;34.50;34.10;35.36;40.25;48.99;55.42;56.13;56.50;55.39;52.44;52.00;51.13;50.80;51.91;53.21;55.07;53.31;52.93;50.57;48.04;44.53;37.80
11.12.2019;35.07;33.30;33.06;33.01;33.09;36.70;47.30;51.14;53.73;54.09;52.97;52.72;51.39;50.65;51.00;52.92;54.94;55.48;54.12;55.49;52.94;48.20;42.90;36.10
10.12.2019;36.10;33.05;31.10;30.82;32.00;35.01;47.41;52.88;55.01;54.69;51.80;50.58;49.74;48.14;49.00;50.95;52.84;54.26;54.00;52.92;49.96;43.24;41.02;35.51
09.12.2019;24.68;20.00;17.56;18.60;20.94;32.28;35.98;43.59;48.92;47.98;48.00;46.91;48.41;47.17;47.91;49.50;50.50;51.72;49.95;49.40;47.97;37.00;34.07;31.81
08.12.2019;25.74;25.13;16.80;14.14;17.61;25.96;26.18;29.13;32.03;33.01;33.09;34.09;33.10;32.34;30.86;33.07;33.08;33.20;33.08;33.54;35.05;32.02;31.18;29.10
07.12.2019;32.01;28.90;28.04;26.00;26.96;31.21;33.10;35.65;40.10;41.25;39.98;39.46;38.07;36.45;35.10;40.00;40.84;44.29;43.03;41.67;41.29;35.10;33.50;32.05
06.12.2019;37.39;34.90;33.09;32.62;33.04;35.89;44.09;51.98;53.65;52.60;51.96;52.11;50.99;50.12;50.01;51.19;52.26;53.50;52.92;51.84;51.10;42.80;39.39;36.56
