Begin,NO1,NO2,NO3,NO4,NO5,SE1,DK1,DK2,SE2,SE3,SE4,FI,EE,LT,LV
2015-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,24.07,0.0,0.0,25.05,18.82,24.4,20.21,0.0,0.0,0.0
2015-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,21.22,20.84,21.6,20.85,0.0,0.0,0.0
2015-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,16.19,17.0,12.0,17.78,20.47,13.01,18.98,0.0,0.0,14.0
2015-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.82,17.59,13.73,17.09,0.0,0.0,14.0
2015-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,18.5,17.13,12.0,16.14,17.52,18.34,18.79,20.0,20.0,0.0
2015-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,29.0,15.12,7.0,19.29,20.43,29.47,20.69,22.81,0.0,0.0
2015-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,29.3,0.0,0.0,28.25,28.15,29.15,26.53,26.94,0.0,0.0
2015-01-01 07:00:00,0.0,0.0,0.0,0.0,26.8,28.1,2.0,2.0,28.32,28.67,27.63,27.94,30.0,0.0,0.0
2015-01-01 08:00:00,0.0,0.0,0.0,0.0,27.0,0.0,23.9,23.9,28.0,28.26,27.45,28.44,27.89,0.0,0.0
2015-01-01 09:00:00,0.0,0.0,0.0,0.0,27.0,0.0,23.9,23.9,25.93,24.68,25.41,25.76,25.0,23.5,24.5
2015-01-01 10:00:00,27.1,0.0,0.0,0.0,27.1,0.0,23.9,23.9,23.34,23.78,23.01,24.65,25.0,23.55,23.1
2015-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,22.6,24.9,25.23,24.42,25.36,25.4,24.67,25.0,23.39,27.0
2015-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,22.62,24.9,24.9,23.51,23.45,0.0,24.18,23.5,23.1,22.9
2015-01-01 13:00:00,0.0,0.0,0.0,0.0,23.12,23.16,0.0,22.7,23.52,23.64,22.73,24.27,25.0,25.95,26.5
2015-01-01 14:00:00,27.0,0.0,0.0,0.0,26.03,23.61,0.0,24.1,24.03,23.97,24.04,24.11,0.0,0.0,22.5
2015-01-01 15:00:00,27.5,0.0,0.0,0.0,27.22,24.12,0.0,23.5,24.08,24.33,23.92,23.42,0.0,0.0,22.25
2015-01-01 16:00:00,28.3,0.0,0.0,0.0,28.3,26.3,0.0,26.52,26.68,26.54,26.33,25.19,0.0,5.0,23.0
2015-01-01 17:00:00,28.4,0.0,0.0,0.0,28.4,27.3,0.0,28.3,26.53,27.0,26.8,26.39,0.0,5.0,24.74
2015-01-01 18:00:00,28.2,0.0,0.0,0.0,28.2,25.2,0.0,0.0,26.48,26.59,26.64,26.35,0.0,5.0,24.44
2015-01-01 19:00:00,27.8,0.0,0.0,0.0,27.8,22.8,0.0,26.0,26.19,26.32,27.1,26.49,0.0,5.0,0.0
2015-01-01 20:00:00,27.5,0.0,0.0,0.0,27.5,27.5,24.9,17.56,26.06,26.01,27.1,25.45,0.0,5.0,24.91
2015-01-01 21:00:00,27.1,0.0,0.0,0.0,27.1,25.8,24.83,15.02,25.47,25.57,25.85,25.56,0.0,5.0,24.03
2015-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,26.4,9.4,-8.56,25.76,25.44,26.4,25.61,0.0,5.0,21.14
2015-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.35,24.97,23.86,17.1,18.29,0.0,5.0,13.97
2015-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,17.79,0.0,-10.0,17.5,18.17,0.0,17.72,0.0,0.0,0.0
2015-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-8.33,-20.0,14.29,14.01,15.2,15.43,0.0,0.0,0.0
2015-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.33,12.14,14.8,11.14,0.0,0.0,0.0
2015-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,13.98,0.0,0.0,13.42,12.67,13.0,12.0,0.0,0.0,0.0
2015-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,23.95,-1.0,0.0,23.94,0.0,24.09,23.76,0.0,0.0,23.5
2015-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,25.55,0.54,-9.66,26.95,22.75,31.0,28.14,0.0,0.0,15.0
2015-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,24.51,21.75,20.0,27.65,27.27,28.0,27.53,0.0,0.0,23.3
2015-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,28.9,8.0,26.0,28.77,28.52,28.48,28.64,0.0,0.0,28.0
2015-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,24.08,10.0,26.0,26.21,26.55,29.0,27.03,0.0,0.0,25.4
2015-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,24.27,0.0,23.79,24.89,26.38,29.01,24.77,25.35,0.0,25.3
2015-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0,20.84,0.0,22.15,23.61,22.57,0.0,23.23,0.0,0.0,28.0
2015-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0,20.9,0.0,19.45,21.42,21.21,0.0,23.64,0.0,0.0,25.4
2015-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0,21.11,0.0,19.7,20.99,21.39,21.4,21.44,0.0,0.0,25.3
2015-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0,21.36,0.0,21.32,21.86,21.6,22.21,22.52,0.0,0.0,25.2
2015-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0,21.28,0.0,21.1,22.17,21.89,23.16,27.31,0.0,0.0,25.5
2015-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0,21.41,0.0,22.08,22.55,22.71,24.22,25.22,0.0,0.0,25.1
2015-01-02 16:00:00,0.0,23.33,0.0,0.0,0.0,22.25,0.0,23.31,23.46,23.58,26.6,25.33,0.0,0.0,25.9
2015-01-02 17:00:00,0.0,23.0,0.0,0.0,0.0,22.44,0.0,22.8,23.08,23.48,24.29,26.73,27.5,0.0,21.0
2015-01-02 18:00:00,0.0,23.0,0.0,0.0,0.0,23.53,0.0,24.44,24.78,24.18,25.39,28.07,29.5,0.0,20.5
2015-01-02 19:00:00,0.0,23.0,0.0,0.0,0.0,24.39,0.0,26.49,24.99,24.97,27.48,24.94,23.0,0.0,20.4
2015-01-02 20:00:00,0.0,23.0,0.0,0.0,0.0,26.03,0.0,0.0,25.63,25.34,26.79,24.83,23.0,0.0,25.0
2015-01-02 21:00:00,0.0,23.0,0.0,0.0,0.0,25.14,20.0,20.0,25.6,25.0,26.51,25.38,23.0,0.0,26.5
2015-01-02 22:00:00,0.0,23.0,0.0,0.0,0.0,24.2,0.0,0.0,24.2,24.59,23.0,24.44,23.0,0.0,0.0
2015-01-02 23:00:00,0.0,23.0,0.0,0.0,0.0,22.9,0.0,19.0,22.9,22.92,23.0,23.0,22.9,0.0,0.0
2015-01-03 00:00:00,25.9,0.0,0.0,0.0,25.9,0.0,0.0,0.0,0.0,22.73,25.0,22.12,0.0,0.0,27.5
2015-01-03 01:00:00,25.5,0.0,28.0,28.0,25.5,0.0,1.0,0.0,23.5,23.0,23.0,22.47,0.0,0.0,25.5
2015-01-03 02:00:00,25.4,0.0,0.0,0.0,25.4,8.1,-5.8,-6.0,14.86,14.03,14.91,12.11,0.0,0.0,15.0
2015-01-03 03:00:00,25.3,0.0,0.0,0.0,25.3,7.1,-1.75,-6.75,14.88,15.39,15.36,14.63,0.0,0.0,15.0
2015-01-03 04:00:00,25.3,25.3,0.0,27.9,25.3,8.1,-0.77,-1.83,8.05,26.16,27.21,18.06,0.0,0.0,27.5
2015-01-03 05:00:00,25.3,0.0,0.0,0.0,25.3,36.49,3.29,16.0,29.1,34.89,30.15,31.24,0.0,0.0,29.0
2015-01-03 06:00:00,25.6,25.6,0.0,27.9,25.6,34.39,0.0,0.0,30.71,31.65,30.12,28.04,0.0,0.0,24.5
2015-01-03 07:00:00,26.8,0.0,0.0,0.0,26.8,34.6,3.3,4.9,33.4,34.05,34.09,29.13,0.0,0.0,0.0
2015-01-03 08:00:00,27.0,0.0,27.9,27.9,27.0,27.13,0.0,0.0,33.41,30.18,32.29,28.85,28.7,0.0,29.0
2015-01-03 09:00:00,27.5,0.0,0.0,28.3,27.5,28.1,20.42,16.0,33.58,30.39,31.84,29.83,28.26,0.0,35.0
2015-01-03 10:00:00,27.7,0.0,28.4,28.4,27.7,27.79,17.5,17.5,29.21,27.87,27.57,28.14,28.0,35.0,28.34
2015-01-03 11:00:00,27.7,27.7,28.4,0.0,27.7,27.28,15.05,20.0,28.57,26.85,25.54,26.69,23.42,35.0,28.03
2015-01-03 12:00:00,27.7,0.0,0.0,0.0,27.7,24.2,12.67,12.43,26.26,24.75,25.31,26.45,20.0,35.0,27.08
2015-01-03 13:00:00,27.7,27.7,28.5,0.0,27.7,28.7,14.98,13.52,27.01,27.56,26.14,29.5,24.5,0.0,28.72
2015-01-03 14:00:00,27.8,0.0,0.0,0.0,27.8,27.4,0.0,26.05,25.74,26.58,25.42,28.1,13.1,0.0,26.01
2015-01-03 15:00:00,28.4,28.3,0.0,0.0,28.4,27.0,23.25,27.43,24.81,24.72,26.0,27.6,28.92,35.0,32.35
2015-01-03 16:00:00,28.6,28.6,29.2,0.0,28.6,30.2,28.6,0.0,25.65,27.26,26.02,34.43,30.6,35.0,28.41
2015-01-03 17:00:00,28.9,28.9,0.0,30.0,0.0,25.9,0.0,0.0,27.55,27.2,26.01,31.53,30.6,0.0,26.0
2015-01-03 18:00:00,28.8,0.0,30.57,30.3,28.3,28.61,28.76,30.89,27.77,27.6,26.05,31.33,30.15,29.8,28.45
2015-01-03 19:00:00,28.5,0.0,31.05,29.0,28.0,28.39,24.27,25.5,28.14,27.75,26.0,29.55,27.0,35.0,20.41
2015-01-03 20:00:00,28.3,28.3,28.7,0.0,26.0,20.18,21.78,14.88,22.41,22.58,24.86,19.0,6.44,20.0,18.5
2015-01-03 21:00:00,27.9,27.9,0.0,0.0,22.0,0.0,20.43,15.21,23.21,24.02,21.91,17.96,11.2,0.0,15.0
2015-01-03 22:00:00,27.7,27.7,0.0,0.0,27.2,23.1,19.79,17.9,26.81,25.33,24.13,23.54,25.0,28.0,16.11
2015-01-03 23:00:00,27.3,0.0,0.0,0.0,26.8,25.4,17.72,14.3,26.71,26.95,26.84,25.48,0.0,28.0,29.9
2015-01-04 00:00:00,23.0,27.6,0.0,0.0,27.6,23.5,21.51,22.72,0.0,22.32,23.5,21.68,16.0,27.0,21.0
2015-01-04 01:00:00,27.4,0.0,0.0,0.0,27.11,0.0,19.08,19.91,22.72,22.92,19.84,16.86,19.71,26.8,11.06
2015-01-04 02:00:00,27.2,0.0,0.0,0.0,26.76,0.0,18.45,19.75,20.94,21.38,20.84,13.49,21.2,0.0,17.42
2015-01-04 03:00:00,27.0,0.0,0.0,0.0,27.0,0.0,18.67,22.02,22.71,21.86,23.51,14.58,12.0,0.0,20.97
2015-01-04 04:00:00,27.0,0.0,0.0,0.0,27.0,0.0,17.21,22.17,4.0,17.17,20.17,18.11,16.98,0.0,16.43
2015-01-04 05:00:00,23.0,27.2,0.0,0.0,0.0,8.1,26.82,26.01,0.0,19.07,0.0,18.36,9.0,0.0,16.11
2015-01-04 06:00:00,27.1,27.1,28.1,28.1,27.1,20.7,26.64,30.0,22.83,19.49,0.0,17.55,20.5,0.0,17.18
2015-01-04 07:00:00,27.1,27.1,28.1,28.1,27.1,10.51,27.9,26.25,13.86,14.81,0.0,24.12,12.0,0.0,24.0
2015-01-04 08:00:00,27.6,27.6,0.0,0.0,27.6,24.5,25.58,22.62,21.84,19.5,0.0,20.87,0.0,0.0,17.38
2015-01-04 09:00:00,28.0,28.0,28.2,28.2,28.0,26.8,18.2,20.04,24.13,26.13,26.5,25.57,0.0,30.28,20.71
2015-01-04 10:00:00,28.2,28.2,28.3,28.3,28.2,28.0,0.0,27.88,27.91,28.47,28.98,28.38,0.0,29.82,24.65
2015-01-04 11:00:00,28.3,28.3,28.3,28.3,28.3,29.63,28.7,30.79,28.33,28.55,28.98,29.42,24.53,28.67,23.84
2015-01-04 12:00:00,28.2,28.2,0.0,0.0,0.0,32.56,31.0,31.42,30.81,30.07,29.07,31.11,27.0,29.66,27.4
2015-01-04 13:00:00,28.3,28.3,0.0,28.4,28.3,31.57,31.15,32.05,30.52,30.23,29.04,34.0,26.5,30.3,31.45
2015-01-04 14:00:00,28.3,28.3,0.0,0.0,28.3,30.2,31.3,34.8,30.78,30.32,29.04,34.14,26.5,31.0,30.62
2015-01-04 15:00:00,28.7,0.0,28.7,0.0,28.7,26.9,31.0,28.36,33.86,32.46,28.97,33.88,0.0,34.0,30.2
2015-01-04 16:00:00,28.9,0.0,29.6,29.6,28.9,29.6,28.81,30.91,36.23,34.56,29.01,34.54,35.0,34.1,33.0
2015-01-04 17:00:00,29.0,29.0,0.0,29.9,29.0,32.2,32.3,29.46,35.79,34.48,29.67,32.42,0.0,35.0,31.32
2015-01-04 18:00:00,29.5,29.5,36.68,29.9,29.5,35.98,31.81,30.27,36.12,35.57,29.7,33.13,0.0,35.0,30.86
2015-01-04 19:00:00,29.4,0.0,36.5,29.8,29.4,37.7,33.68,37.94,36.47,35.85,29.67,35.84,0.0,33.9,29.69
2015-01-04 20:00:00,28.9,28.9,35.4,29.5,0.0,35.23,29.72,29.24,35.79,34.68,29.63,35.38,0.0,0.0,0.0
2015-01-04 21:00:00,28.7,28.7,29.1,29.1,28.7,29.4,29.51,30.0,35.5,34.37,29.63,32.47,0.0,32.8,0.0
2015-01-04 22:00:00,28.7,0.0,0.0,29.0,28.7,29.0,30.08,0.0,34.85,33.01,29.0,30.3,0.0,30.1,29.1
2015-01-04 23:00:00,28.0,28.0,28.3,0.0,29.49,33.67,29.24,0.0,35.6,33.83,28.99,31.12,0.0,30.99,32.4
2015-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,33.1,0.0,0.0,30.46,32.37,0.0,28.89,0.0,0.0,32.1
2015-01-05 01:00:00,0.0,0.0,0.0,0.0,0.0,33.1,0.0,0.0,29.93,31.61,0.0,27.28,25.0,0.0,31.9
2015-01-05 02:00:00,0.0,0.0,0.0,0.0,0.0,33.1,0.0,0.0,29.88,31.46,29.09,26.89,25.0,0.0,24.9
2015-01-05 03:00:00,0.0,0.0,0.0,0.0,0.0,33.1,0.0,27.84,28.84,31.22,28.78,26.36,0.0,0.0,24.9
2015-01-05 04:00:00,0.0,0.0,31.5,0.0,0.0,33.07,0.0,26.87,29.43,31.45,29.04,27.8,0.0,0.0,26.1
2015-01-05 05:00:00,0.0,0.0,0.0,0.0,0.0,33.01,0.0,29.03,30.04,32.15,31.22,35.36,0.0,0.0,30.0
2015-01-05 06:00:00,0.0,0.0,0.0,0.0,0.0,33.02,0.0,28.2,30.63,32.01,22.3,39.2,0.0,0.0,39.2
2015-01-05 07:00:00,0.0,0.0,0.0,0.0,0.0,33.1,16.19,30.6,30.19,24.27,0.0,36.75,0.0,0.0,0.0
2015-01-05 08:00:00,0.0,0.0,0.0,0.0,0.0,33.1,16.32,16.3,33.31,29.5,25.0,40.24,0.0,43.1,43.0
2015-01-05 09:00:00,0.0,0.0,0.0,27.0,0.0,23.15,19.8,26.46,21.84,29.66,0.0,39.8,40.84,43.03,24.0
2015-01-05 10:00:00,0.0,0.0,0.0,30.0,0.0,26.53,24.25,28.09,26.91,29.36,27.33,40.03,42.12,43.23,50.0
2015-01-05 11:00:00,0.0,23.5,0.0,0.0,0.0,33.1,27.11,27.31,29.06,30.21,31.84,41.5,40.51,43.24,50.0
2015-01-05 12:00:00,0.0,30.49,0.0,0.0,0.0,31.35,22.35,25.2,29.25,28.93,26.44,42.42,43.07,43.52,50.0
2015-01-05 13:00:00,0.0,32.6,0.0,0.0,0.0,28.0,28.6,27.97,30.42,30.52,0.0,43.09,43.68,43.19,0.0
2015-01-05 14:00:00,0.0,31.01,0.0,0.0,34.0,27.75,31.19,28.03,29.08,29.8,0.0,43.88,45.59,43.07,45.1
2015-01-05 15:00:00,0.0,44.07,0.0,0.0,34.1,33.1,38.9,36.0,35.48,35.17,0.0,43.97,45.89,43.03,49.55
2015-01-05 16:00:00,44.0,47.7,42.82,0.0,0.0,33.28,42.25,36.87,41.46,38.13,0.0,41.11,46.23,43.0,47.0
2015-01-05 17:00:00,46.0,54.5,43.0,0.0,0.0,38.15,51.52,0.0,42.89,43.15,0.0,46.86,47.09,43.0,47.0
2015-01-05 18:00:00,37.55,37.5,43.89,0.0,0.0,38.27,50.02,44.2,42.34,42.37,0.0,44.35,47.84,43.0,42.0
2015-01-05 19:00:00,0.0,0.0,43.0,0.0,0.0,33.33,44.54,39.16,40.38,37.26,0.0,40.84,46.23,43.0,0.0
